pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Logroño;5045.00;0.14;0.85;106;53;324184;0.30;0.57;87;46;174;Logroño;150845;46.53;Logroño;150845;46.53;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Lugo;9856.00;0.27;1.66;68;29;325048;0.30;0.57;86;45;67;Lugo;99365;30.57;Lugo;99365;30.57;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia Metropolitana;Madrid;1738.93;0.05;0.29;115;58;5202608;4.76;9.12;1;1;24;Madrid;3422416;65.78;Madrid;3422416;65.78;10
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Málaga;7308.00;0.20;1.23;87;41;1774701;1.62;3.11;19;11;103;Málaga;592346;33.38;Málaga;592346;33.38;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Móstoles;6289.07;0.17;1.06;99;48;1806660;1.65;3.17;17;10;155;Móstoles;213268;11.80;Móstoles;213268;11.80;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Murcia;11313.00;0.31;1.91;56;22;1568492;1.44;2.75;22;12;45;Murcia;471982;30.09;Murcia;471982;30.09;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Oporto;8299.40;0.23;1.40;74;32;3198883;2.93;5.60;5;4;48;Porto;252687;7.90;Vila Nova de Gaia;312984;9.78;6
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Orense;7273.00;0.20;1.23;88;42;304467;0.28;0.53;89;47;92;Ourense;104725;34.40;Ourense;104725;34.40;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Oviedo;10604.00;0.29;1.79;60;23;1009599;0.92;1.77;32;17;78;Oviedo;220027;21.79;Gijón;270219;26.76;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Palencia;8024.36;0.22;1.35;79;36;157916;0.14;0.28;108;56;189;Palencia;76578;48.49;Palencia;76578;48.49;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Pamplona;10362.45;0.28;1.75;63;26;678305;0.62;1.19;53;26;271;Pamplona;208243;30.70;Pamplona;208243;30.70;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Perpiñán;4592.85;0.13;0.78;110;56;579626;0.53;1.02;62;32;234;Perpignan;120996;20.87;Perpignan;120996;20.87;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Pontevedra;4495.00;0.12;0.76;111;57;947869;0.87;1.66;37;19;61;Pontevedra;83106;8.77;Vigo;295523;31.18;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Salamanca;12350.00;0.34;2.08;51;18;327552;0.30;0.57;85;44;362;Salamanca;144458;44.10;Salamanca;144458;44.10;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Santander;5301.35;0.15;0.89;103;51;590600;0.54;1.03;60;30;101;Santander;173635;29.40;Santander;173635;29.40;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Santarén;7399.70;0.20;1.25;86;40;588040;0.54;1.03;61;31;23;Santarém;61664;10.49;Vila Franca de Xira;140711;23.93;2
